half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,15,15,
1,19,53,James Michael McAdoo makes a layup shot. J.P. Tokoto with the assist.,110437,116589,true,true,false,James Michael,J.P.,McAdoo,Tokoto,UNC,UNC,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,19,53,Shooting foul committed by Duke Mondy.,88901,,true,false,false,Duke,,Mondy,,Oak,,2,0,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,179,179,
1,19,53,James Michael McAdoo makes free throw 1 of 1.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,3,0,1,0,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,15,15,
1,19,28,Tommie McCune misses a layup shot.,110231,,true,false,false,Tommie,,McCune,,Oak,,3,0,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,179,179,
1,19,28,Joel James with a defensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,3,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,19,20,Personal foul committed by Travis Bader.,89363,,true,false,false,Travis,,Bader,,Oak,,3,0,2,0,1,,,,,0,,1,Personal,8,Foul,,,,179,179,
1,19,14,James Michael McAdoo misses a jump shot from 15 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,3,0,2,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,15,-14.4,3.5,15,15,
1,19,14,Corey Petros with a defensive rebound.,97953,,true,false,false,Corey,,Petros,,Oak,,3,0,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,179,179,
1,18,55,Duke Mondy makes a 3-point jump shot from 23 feet out.,88901,,true,false,false,Duke,,Mondy,,Oak,,3,3,2,0,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,-19,12.7,179,179,
1,18,35,J.P. Tokoto misses a dunk shot.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,3,3,2,0,0,,,,,0,2,48,Dunk Shot,4,Field Goal Missed,0,0,0,15,15,
1,18,35,Nate Britt with an offensive rebound.,121344,,true,false,false,Nate,,Britt,,UNC,,3,3,2,0,0,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,18,27,Marcus Paige misses a 3-point jump shot from 24 feet out.,116587,,true,false,false,Marcus,,Paige,,UNC,,3,3,2,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,13.5,19.3,15,15,
1,18,27,Oak with a defensive rebound.,,,false,false,false,,,,,,,3,3,2,0,0,,,,,0,,,,6,Defensive Rebound,,,,179,179,
1,18,27,Personal foul committed by Joel James.,116586,,true,false,false,Joel,,James,,UNC,,3,3,2,1,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,18,16,Duke Mondy with a out of bounds turnover: Out of Bounds,88901,,true,false,false,Duke,,Mondy,,Oak,,3,3,2,1,1,,,,,3,,3,Out of Bounds,7,Turnover,,,,179,179,
1,18,02,Marcus Paige with a lost ball turnover: Lost Ball,116587,,true,false,false,Marcus,,Paige,,UNC,,3,3,2,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,17,58,Travis Bader misses a 3-point jump shot from 23 feet out.,89363,,true,false,false,Travis,,Bader,,Oak,,3,3,2,1,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-20.7,9.6,179,179,
1,17,58,Joel James with a defensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,3,3,2,1,1,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,17,51,Personal foul committed by Kahlil Felder.,121282,,true,false,false,Kahlil,,Felder,,Oak,,3,3,3,1,1,,,,,0,,1,Personal,8,Foul,,,,179,179,
1,17,38,James Michael McAdoo makes a jump shot from 13 feet out. J.P. Tokoto with the assist.,110437,116589,true,true,false,James Michael,J.P.,McAdoo,Tokoto,UNC,UNC,5,3,3,1,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,13,11,8,15,15,
1,17,15,Kahlil Felder with a lost ball turnover: Lost Ball,121282,,true,false,false,Kahlil,,Felder,,Oak,,5,3,3,1,1,,,,,0,,2,Lost Ball,7,Turnover,,,,179,179,
1,17,10,James Michael McAdoo makes a layup shot. Marcus Paige with the assist.,110437,116587,true,true,false,James Michael,Marcus,McAdoo,Paige,UNC,UNC,7,3,3,1,0,,,,,7,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,16,54,Personal foul committed by Nate Britt.,121344,,true,false,false,Nate,,Britt,,UNC,,7,3,3,2,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,16,46,Duke Mondy misses a jump shot from 8 feet out.,88901,,true,false,false,Duke,,Mondy,,Oak,,7,3,3,2,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,8,-2.5,8.1,179,179,
1,16,46,Kahlil Felder with an offensive rebound.,121282,,true,false,false,Kahlil,,Felder,,Oak,,7,3,3,2,1,,,,,0,,,,5,Offensive Rebound,,,,179,179,
1,16,34,Travis Bader with a lost ball turnover: Lost Ball,89363,,true,false,false,Travis,,Bader,,Oak,,7,3,3,2,1,,,,,0,,2,Lost Ball,7,Turnover,,,,179,179,
1,16,30,J.P. Tokoto makes a jump shot from 4 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,9,3,3,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,4,3,3,15,15,
1,16,30,Shooting foul committed by Kahlil Felder.,121282,,true,false,false,Kahlil,,Felder,,Oak,,9,3,4,2,2,,,,,0,,2,Shooting,8,Foul,,,,179,179,
1,16,30,J.P. Tokoto makes free throw 1 of 1.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,10,3,4,2,0,,,,,3,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,15,15,
1,16,12,Dante Williams misses a layup shot.,110001,,true,false,false,Dante,,Williams,,Oak,,10,3,4,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,179,179,
1,16,12,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,10,3,4,2,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,16,02,James Michael McAdoo makes a dunk shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,12,3,4,2,0,,,,,9,2,48,Dunk Shot,3,Field Goal Made,0,0,0,15,15,
1,15,41,Travis Bader makes a 3-point jump shot from 27 feet out. Duke Mondy with the assist.,89363,88901,true,true,false,Travis,Duke,Bader,Mondy,Oak,Oak,12,6,4,2,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,27,-4,27,179,179,
1,15,26,Marcus Paige with a lost ball turnover: Lost Ball,116587,,true,false,false,Marcus,,Paige,,UNC,,12,6,4,2,0,,,,,0,,2,Lost Ball,7,Turnover,,,,15,15,
1,15,11,Duke Mondy makes a jump shot from 14 feet out.,88901,,true,false,false,Duke,,Mondy,,Oak,,12,8,4,2,1,,,,,5,2,45,Jump Shot,3,Field Goal Made,14,9.6,10.8,179,179,
1,15,02,Marcus Paige makes a 3-point jump shot from 24 feet out. Kennedy Meeks with the assist.,116587,121345,true,true,false,Marcus,Kennedy,Paige,Meeks,UNC,UNC,15,8,4,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,15.6,18.8,15,15,
1,14,43,Travis Bader with a lost ball turnover: Lost Ball,89363,,true,false,false,Travis,,Bader,,Oak,,15,8,4,2,1,,,,,3,,2,Lost Ball,7,Turnover,,,,179,179,
1,14,37,Kennedy Meeks makes a layup shot. Nate Britt with the assist.,121345,121344,true,true,false,Kennedy,Nate,Meeks,Britt,UNC,UNC,17,8,4,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,14,19,Dante Williams misses a 3-point jump shot from 23 feet out.,110001,,true,false,false,Dante,,Williams,,Oak,,17,8,4,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22,5.9,179,179,
1,14,19,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,17,8,4,2,0,,,,,9,,,,6,Defensive Rebound,,,,15,15,
1,14,04,Shooting foul committed by Tommie McCune.,110231,,true,false,false,Tommie,,McCune,,Oak,,17,8,5,2,1,,,,,0,,2,Shooting,8,Foul,,,,179,179,
1,14,04,Official TV timeout.,,,false,false,false,,,,,,,17,8,5,2,0,,,,,0,,3,Official TV,11,Timeout,,,,15,15,
1,14,04,Kennedy Meeks makes free throw 1 of 2.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,18,8,5,2,0,,,,,3,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,15,15,
1,14,04,Kennedy Meeks makes free throw 2 of 2.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,19,8,5,2,0,,,,,4,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,15,15,
1,13,45,Corey Petros misses a hook shot from 9 feet out.,97953,,true,false,false,Corey,,Petros,,Oak,,19,8,5,2,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,9,2.1,8.2,179,179,
1,13,45,Brice Johnson with a defensive rebound.,116588,,true,false,false,Brice,,Johnson,,UNC,,19,8,5,2,0,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,13,39,J.P. Tokoto makes a jump shot from 9 feet out.,116589,,true,false,false,J.P.,,Tokoto,,UNC,,21,8,5,2,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,9,-4,8,15,15,
1,13,18,Travis Bader with a lost ball turnover: Lost Ball,89363,,true,false,false,Travis,,Bader,,Oak,,21,8,5,2,1,,,,,3,,2,Lost Ball,7,Turnover,,,,179,179,
1,13,11,J.P. Tokoto with a bad pass turnover: Bad Pass,116589,,true,false,false,J.P.,,Tokoto,,UNC,,21,8,5,2,0,,,,,5,,1,Bad Pass,7,Turnover,,,,15,15,
1,12,51,Dante Williams misses a 3-point jump shot from 23 feet out.,110001,,true,false,false,Dante,,Williams,,Oak,,21,8,5,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,19,13.5,179,179,
1,12,51,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,21,8,5,2,0,,,,,9,,,,6,Defensive Rebound,,,,15,15,
1,12,39,Marcus Paige makes a 3-point jump shot from 24 feet out. Kennedy Meeks with the assist.,116587,121345,true,true,false,Marcus,Kennedy,Paige,Meeks,UNC,UNC,24,8,5,2,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,24,-18.8,15.7,15,15,
1,12,26,Personal foul committed by Luke Davis.,98623,,true,false,false,Luke,,Davis,,UNC,,24,8,5,3,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,12,24,Travis Bader misses a 3-point jump shot from 23 feet out.,89363,,true,false,false,Travis,,Bader,,Oak,,24,8,5,3,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,22.4,5.3,179,179,
1,12,24,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,24,8,5,3,0,,,,,9,,,,6,Defensive Rebound,,,,15,15,
1,12,11,James Michael McAdoo makes a layup shot.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,26,8,5,3,0,,,,,11,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,12,01,Corey Petros makes a layup shot. Tommie McCune with the assist.,97953,110231,true,true,false,Corey,Tommie,Petros,McCune,Oak,Oak,26,10,5,3,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,179,179,
1,11,38,Kennedy Meeks misses a jump shot from 7 feet out.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,26,10,5,3,0,,,,,4,2,45,Jump Shot,4,Field Goal Missed,7,-3.1,6,15,15,
1,11,38,Travis Bader with a defensive rebound.,89363,,true,false,false,Travis,,Bader,,Oak,,26,10,5,3,1,,,,,3,,,,6,Defensive Rebound,,,,179,179,
1,11,26,Tommie McCune misses a 3-point jump shot from 25 feet out.,110231,,true,false,false,Tommie,,McCune,,Oak,,26,10,5,3,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,4.8,24.4,179,179,
1,11,26,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,26,10,5,3,0,,,,,4,,,,6,Defensive Rebound,,,,15,15,
1,11,17,Marcus Paige makes a 3-point jump shot from 25 feet out. Luke Davis with the assist.,116587,98623,true,true,false,Marcus,Luke,Paige,Davis,UNC,UNC,29,10,5,3,0,,,,,9,3,45,Jump Shot,3,Field Goal Made,25,-9.8,22.7,15,15,
1,11,14,Oak take a 20-second timeout.,,,false,false,false,,,,,,,29,10,5,3,0,,,,,0,,2,Short,11,Timeout,,,,179,179,
1,11,03,Travis Bader misses a 3-point jump shot from 24 feet out.,89363,,true,false,false,Travis,,Bader,,Oak,,29,10,5,3,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-21.2,10.3,179,179,
1,11,03,Duke Mondy with an offensive rebound.,88901,,true,false,false,Duke,,Mondy,,Oak,,29,10,5,3,1,,,,,5,,,,5,Offensive Rebound,,,,179,179,
1,11,00,Personal foul committed by James Michael McAdoo.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,29,10,5,4,1,,,,,11,,1,Personal,8,Foul,,,,15,15,
1,11,00,Official TV timeout.,,,false,false,false,,,,,,,29,10,5,4,0,,,,,0,,3,Official TV,11,Timeout,,,,15,15,
1,11,00,Duke Mondy makes free throw 1 of 2.,88901,,true,false,false,Duke,,Mondy,,Oak,,29,11,5,4,1,,,,,6,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,179,179,
1,11,00,Duke Mondy makes free throw 2 of 2.,88901,,true,false,false,Duke,,Mondy,,Oak,,29,12,5,4,1,,,,,7,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,179,179,
1,10,39,Nate Britt makes a layup shot.,121344,,true,false,false,Nate,,Britt,,UNC,,31,12,5,4,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,15,15,
1,10,23,Duke Mondy makes a layup shot.,88901,,true,false,false,Duke,,Mondy,,Oak,,31,14,5,4,1,,,,,9,2,40,Layup Shot,3,Field Goal Made,0,0,0,179,179,
1,10,08,Personal foul committed by Brice Johnson.,116588,,true,false,false,Brice,,Johnson,,UNC,,31,14,5,5,1,,,,,0,,1,Personal,8,Foul,,,,15,15,
1,10,08,James Michael McAdoo misses a jump shot from 12 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,31,14,5,5,1,,,,,11,2,45,Jump Shot,4,Field Goal Missed,12,-9.8,7.4,15,15,
1,10,08,Brice Johnson with an offensive rebound.,116588,,true,false,false,Brice,,Johnson,,UNC,,31,14,5,5,1,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,10,05,Brice Johnson with a traveling turnover: Traveling,116588,,true,false,false,Brice,,Johnson,,UNC,,31,14,5,5,1,,,,,0,,4,Traveling,7,Turnover,,,,15,15,
1,9,41,Travis Bader misses a jump shot from 13 feet out.,89363,,true,false,false,Travis,,Bader,,Oak,,31,14,5,5,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,13,-10.1,8.9,179,179,
1,9,41,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,31,14,5,5,1,,,,,11,,,,6,Defensive Rebound,,,,15,15,
1,9,28,James Michael McAdoo with a lost ball turnover: Lost Ball,110437,,true,false,false,James Michael,,McAdoo,,UNC,,31,14,5,5,1,,,,,11,,2,Lost Ball,7,Turnover,,,,15,15,
1,9,23,Kahlil Felder misses a jump shot from 8 feet out.,121282,,true,false,false,Kahlil,,Felder,,Oak,,31,14,5,5,2,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-6,5,179,179,
1,9,23,Joel James with a defensive rebound.,116586,,true,false,false,Joel,,James,,UNC,,31,14,5,5,1,,,,,0,,,,6,Defensive Rebound,,,,15,15,
1,9,12,Brice Johnson makes a hook shot from 10 feet out. Nate Britt with the assist.,116588,121344,true,true,false,Brice,Nate,Johnson,Britt,UNC,UNC,33,14,5,5,1,,,,,2,2,55,Hook Shot,3,Field Goal Made,10,-7.6,6.2,15,15,
1,9,02,Shooting foul committed by Joel James.,116586,,true,false,false,Joel,,James,,UNC,,33,14,5,6,2,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,9,02,Kahlil Felder misses free throw 1 of 2.,121282,,true,false,false,Kahlil,,Felder,,Oak,,33,14,5,6,2,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,179,179,
1,9,02,Oak with an offensive rebound.,,,false,false,false,,,,,,,33,14,5,6,0,,,,,0,,,,5,Offensive Rebound,,,,179,179,
1,9,02,Kahlil Felder makes free throw 2 of 2.,121282,,true,false,false,Kahlil,,Felder,,Oak,,33,15,5,6,2,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,179,179,
1,8,50,J.P. Tokoto makes a jump shot from 18 feet out. Isaiah Hicks with the assist.,116589,121346,true,true,false,J.P.,Isaiah,Tokoto,Hicks,UNC,UNC,35,15,5,6,0,,,,,7,2,45,Jump Shot,3,Field Goal Made,18,14,11,15,15,
1,8,35,Shooting foul committed by Isaiah Hicks.,121346,,true,false,false,Isaiah,,Hicks,,UNC,,35,15,5,7,1,,,,,0,,2,Shooting,8,Foul,,,,15,15,
1,8,34,Tommie McCune makes free throw 1 of 2.,110231,,true,false,false,Tommie,,McCune,,Oak,,35,16,5,7,1,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,179,179,
1,8,34,Tommie McCune misses free throw 2 of 2.,110231,,true,false,false,Tommie,,McCune,,Oak,,35,16,5,7,1,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,179,179,
1,8,34,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,35,16,5,7,1,,,,,11,,,,6,Defensive Rebound,,,,15,15,
1,8,20,Shooting foul committed by Tommie McCune.,110231,,true,false,false,Tommie,,McCune,,Oak,,35,16,6,7,2,,,,,1,,2,Shooting,8,Foul,,,,179,179,
1,8,20,Kennedy Meeks makes free throw 1 of 2.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,36,16,6,7,0,,,,,5,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,15,15,
1,8,20,Kennedy Meeks makes free throw 2 of 2.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,37,16,6,7,0,,,,,6,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,15,15,
1,8,03,Travis Bader misses a 3-point jump shot from 24 feet out.,89363,,true,false,false,Travis,,Bader,,Oak,,37,16,6,7,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,4.8,23.9,179,179,
1,8,03,James Michael McAdoo with a defensive rebound.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,37,16,6,7,1,,,,,11,,,,6,Defensive Rebound,,,,15,15,
1,7,46,Kennedy Meeks makes a dunk shot. James Michael McAdoo with the assist.,121345,110437,true,true,false,Kennedy,James Michael,Meeks,McAdoo,UNC,UNC,39,16,6,7,0,,,,,8,2,48,Dunk Shot,3,Field Goal Made,0,0,0,15,15,
1,7,36,Duke Mondy with a lost ball turnover: Lost Ball,88901,,true,false,false,Duke,,Mondy,,Oak,,39,16,6,7,1,,,,,9,,2,Lost Ball,7,Turnover,,,,179,179,
1,7,27,J.P. Tokoto makes a jump shot from 10 feet out. Brice Johnson with the assist.,116589,116588,true,true,false,J.P.,Brice,Tokoto,Johnson,UNC,UNC,41,16,6,7,0,,,,,9,2,45,Jump Shot,3,Field Goal Made,10,1,10,15,15,
1,7,17,Duke Mondy misses a 3-point jump shot from 24 feet out.,88901,,true,false,false,Duke,,Mondy,,Oak,,41,16,6,7,1,,,,,9,3,45,Jump Shot,4,Field Goal Missed,24,-18.3,15.2,179,179,
1,7,17,Kennedy Meeks with a defensive rebound.,121345,,true,false,false,Kennedy,,Meeks,,UNC,,41,16,6,7,0,,,,,8,,,,6,Defensive Rebound,,,,15,15,
1,7,11,James Michael McAdoo misses a 3-point jump shot from 23 feet out.,110437,,true,false,false,James Michael,,McAdoo,,UNC,,41,16,6,7,1,,,,,11,3,45,Jump Shot,4,Field Goal Missed,23,-17.3,15.4,15,15,
1,7,11,Isaiah Hicks with an offensive rebound.,121346,,true,false,false,Isaiah,,Hicks,,UNC,,41,16,6,7,1,,,,,0,,,,5,Offensive Rebound,,,,15,15,
1,7,10,Official TV timeout.,,,false,false,false,,,,,,,41,16,6,7,0,,,,,0,,3,Official TV,11,Timeout,,,,15,15,
