half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,314,314,
1,19,53,Jarell Martin misses a 3-point jump shot from 23 feet out.,120724,,true,false,false,Jarell,,Martin,,LSU,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,3.5,23,259,259,
1,19,53,SanFr with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,314,314,
1,19,26,Kruize Pinkins makes a jump shot from 17 feet out. Matt Glover with the assist.,120947,109552,true,true,false,Kruize,Matt,Pinkins,Glover,SanFr,SanFr,2,0,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,-16.6,-.1,314,314,
1,19,13,Jarell Martin misses a jump shot from 20 feet out.,120724,,true,false,false,Jarell,,Martin,,LSU,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,20,-12.2,15.4,259,259,
1,19,13,Cole Dickerson with a defensive rebound.,97266,,true,false,false,Cole,,Dickerson,,SanFr,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,314,314,
1,18,45,Kruize Pinkins misses a hook shot from 6 feet out.,120947,,true,false,false,Kruize,,Pinkins,,SanFr,,2,0,0,0,0,,,,,2,2,55,Hook Shot,4,Field Goal Missed,6,3.1,5,314,314,
1,18,45,Jarell Martin with a defensive rebound.,120724,,true,false,false,Jarell,,Martin,,LSU,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,18,34,Shavon Coleman misses a 3-point jump shot from 23 feet out.,116559,,true,false,false,Shavon,,Coleman,,LSU,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-18.6,12.7,259,259,
1,18,34,Jarell Martin with an offensive rebound.,120724,,true,false,false,Jarell,,Martin,,LSU,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,259,259,
1,18,24,Jarell Martin makes a dunk shot.,120724,,true,false,false,Jarell,,Martin,,LSU,,2,2,0,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,259,259,
1,17,44,Matt Glover with a lost ball turnover: Lost Ball,109552,,true,false,false,Matt,,Glover,,SanFr,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,314,314,
1,17,30,Johnny O'Bryant III misses a jump shot from 15 feet out.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,2,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-15.2,-.3,259,259,
1,17,30,Jordan Mickey with an offensive rebound.,120727,,true,false,false,Jordan,,Mickey,,LSU,,2,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,259,259,
1,17,21,Jordan Mickey misses a layup shot.,120727,,true,false,false,Jordan,,Mickey,,LSU,,2,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,259,259,
1,17,21,Kruize Pinkins with a defensive rebound.,120947,,true,false,false,Kruize,,Pinkins,,SanFr,,2,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,314,314,
1,17,14,Matt Glover with a lost ball turnover: Lost Ball,109552,,true,false,false,Matt,,Glover,,SanFr,,2,2,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,314,314,
1,16,57,Jarell Martin makes a 3-point jump shot from 24 feet out. Jordan Mickey with the assist.,120724,120727,true,true,false,Jarell,Jordan,Martin,Mickey,LSU,LSU,2,5,0,0,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,-13,20,259,259,
1,16,45,Cole Dickerson misses a 3-point jump shot from 24 feet out.,97266,,true,false,false,Cole,,Dickerson,,SanFr,,2,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-10.1,21.8,314,314,
1,16,45,Anthony Hickey with a defensive rebound.,109778,,true,false,false,Anthony,,Hickey,,LSU,,2,5,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,16,33,Anthony Hickey misses a 3-point jump shot from 23 feet out.,109778,,true,false,false,Anthony,,Hickey,,LSU,,2,5,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-12,19.6,259,259,
1,16,33,Shavon Coleman with an offensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,2,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,259,259,
1,16,33,Shavon Coleman misses a layup shot.,116559,,true,false,false,Shavon,,Coleman,,LSU,,2,5,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,259,259,
1,16,33,Johnny O'Bryant III with an offensive rebound.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,2,5,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,259,259,
1,16,30,Shooting foul committed by Kruize Pinkins.,120947,,true,false,false,Kruize,,Pinkins,,SanFr,,2,5,0,1,1,,,,,2,,2,Shooting,8,Foul,,,,314,314,
1,16,30,Johnny O'Bryant III makes free throw 1 of 2.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,2,6,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,259,259,
1,16,30,Johnny O'Bryant III makes free throw 2 of 2.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,2,7,0,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,259,259,
1,16,15,Cole Dickerson misses a jump shot from 9 feet out.,97266,,true,false,false,Cole,,Dickerson,,SanFr,,2,7,0,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,.6,8.7,314,314,
1,16,15,Jarell Martin with a defensive rebound.,120724,,true,false,false,Jarell,,Martin,,LSU,,2,7,0,1,0,,,,,5,,,,6,Defensive Rebound,,,,259,259,
1,15,57,Personal foul committed by Matt Christiansen.,116982,,true,false,false,Matt,,Christiansen,,SanFr,,2,7,0,2,1,,,,,0,,1,Personal,8,Foul,,,,314,314,
1,15,57,Official's timeout.,,,false,false,false,,,,,,,2,7,0,2,0,,,,,0,,4,Official,11,Timeout,,,,314,314,
1,15,52,Jarell Martin makes a dunk shot. Jordan Mickey with the assist.,120724,120727,true,true,false,Jarell,Jordan,Martin,Mickey,LSU,LSU,2,9,0,2,0,,,,,7,2,48,Dunk Shot,3,Field Goal Made,0,0,0,259,259,
1,15,33,Mark Tollefsen misses a 3-point jump shot from 24 feet out.,110447,,true,false,false,Mark,,Tollefsen,,SanFr,,2,9,0,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,16.4,16.9,314,314,
1,15,33,Shavon Coleman with a defensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,2,9,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,15,22,Anthony Hickey with a lost ball turnover: Lost Ball,109778,,true,false,false,Anthony,,Hickey,,LSU,,2,9,0,2,0,,,,,0,,2,Lost Ball,7,Turnover,,,,259,259,
1,15,12,Avry Holmes makes a layup shot.,116983,,true,false,false,Avry,,Holmes,,SanFr,,4,9,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,314,314,
1,14,52,Johnny O'Bryant III makes a jump shot from 13 feet out.,109779,,true,false,false,Johnny,,O'Bryant III,,LSU,,4,11,0,2,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,13,3,12.2,259,259,
1,14,34,Avry Holmes misses a 3-point jump shot from 22 feet out.,116983,,true,false,false,Avry,,Holmes,,SanFr,,4,11,0,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,22,-21.9,1.1,314,314,
1,14,34,Matt Christiansen with an offensive rebound.,116982,,true,false,false,Matt,,Christiansen,,SanFr,,4,11,0,2,1,,,,,0,,,,5,Offensive Rebound,,,,314,314,
1,14,25,Tim Derksen makes a layup shot.,116987,,true,false,false,Tim,,Derksen,,SanFr,,6,11,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,314,314,
1,14,25,Shooting foul committed by Jordan Mickey.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,11,1,2,1,,,,,0,,2,Shooting,8,Foul,,,,259,259,
1,14,25,Tim Derksen misses free throw 1 of 1.,116987,,true,false,false,Tim,,Derksen,,SanFr,,6,11,1,2,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,314,314,
1,14,25,Jarell Martin with a defensive rebound.,120724,,true,false,false,Jarell,,Martin,,LSU,,6,11,1,2,0,,,,,7,,,,6,Defensive Rebound,,,,259,259,
1,14,08,Jarell Martin misses a 3-point jump shot from 24 feet out.,120724,,true,false,false,Jarell,,Martin,,LSU,,6,11,1,2,0,,,,,7,3,45,Jump Shot,4,Field Goal Missed,24,13.4,19.8,259,259,
1,14,08,Tim Derksen with a defensive rebound.,116987,,true,false,false,Tim,,Derksen,,SanFr,,6,11,1,2,0,,,,,2,,,,6,Defensive Rebound,,,,314,314,
1,13,56,Chris Adams misses a 3-point jump shot from 23 feet out.,110446,,true,false,false,Chris,,Adams,,SanFr,,6,11,1,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-17.1,15.7,314,314,
1,13,56,Jordan Mickey with a defensive rebound.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,11,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,13,42,Personal foul committed by Tim Derksen.,116987,,true,false,false,Tim,,Derksen,,SanFr,,6,11,1,3,1,,,,,2,,1,Personal,8,Foul,,,,314,314,
1,13,29,Shavon Coleman misses a 3-point jump shot from 23 feet out.,116559,,true,false,false,Shavon,,Coleman,,LSU,,6,11,1,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-21.5,6.9,259,259,
1,13,29,Tim Derksen with a defensive rebound.,116987,,true,false,false,Tim,,Derksen,,SanFr,,6,11,1,3,1,,,,,2,,,,6,Defensive Rebound,,,,314,314,
1,12,55,Matt Glover misses a layup shot.,109552,,true,false,false,Matt,,Glover,,SanFr,,6,11,1,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,314,314,
1,12,55,Jordan Mickey with a defensive rebound.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,11,1,3,1,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,12,46,Shavon Coleman misses a layup shot.,116559,,true,false,false,Shavon,,Coleman,,LSU,,6,11,1,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,259,259,
1,12,46,Jordan Mickey with an offensive rebound.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,11,1,3,1,,,,,0,,,,5,Offensive Rebound,,,,259,259,
1,12,39,Jordan Mickey misses a jump shot from 7 feet out.,120727,,true,false,false,Jordan,,Mickey,,LSU,,6,11,1,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,7,3.7,5.7,259,259,
1,12,39,Matt Christiansen with a defensive rebound.,116982,,true,false,false,Matt,,Christiansen,,SanFr,,6,11,1,3,1,,,,,0,,,,6,Defensive Rebound,,,,314,314,
1,12,20,Kruize Pinkins misses a layup shot.,120947,,true,false,false,Kruize,,Pinkins,,SanFr,,6,11,1,3,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,314,314,
1,12,20,Shavon Coleman with a defensive rebound.,116559,,true,false,false,Shavon,,Coleman,,LSU,,6,11,1,3,0,,,,,0,,,,6,Defensive Rebound,,,,259,259,
1,12,12,Anthony Hickey misses a 3-point jump shot from 22 feet out.,109778,,true,false,false,Anthony,,Hickey,,LSU,,6,11,1,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-14.7,16.7,259,259,
1,12,12,Chris Adams with a defensive rebound.,110446,,true,false,false,Chris,,Adams,,SanFr,,6,11,1,3,0,,,,,0,,,,6,Defensive Rebound,,,,314,314,
